"","MesM","DiaM","Hora","Temp","Presion","Humedad","PrecipActual","PrecipAcum","fecha"
"1",1,1,"00",25.6,759.48,56.58,0,0,10100
"2",1,1,"01",25.81,759.36,50.83,0,0,10101
"3",1,1,"02",25.34,759.27,52.92,0,0,10102
"4",1,1,"03",24.62,759.04,59.25,0,0,10103
"5",1,1,"04",24.28,759.29,63,0,0,10104
"6",1,1,"05",23.92,759.69,68.27,0,0,10105
"7",1,1,"06",23.87,759.67,70.92,0,0,10106
"8",1,1,"07",24.41,759.97,71.5,0,0,10107
"9",1,1,"08",25.46,760.12,69.25,0,0,10108
"10",1,1,"09",27.09,759.78,62.83,0,0,10109
"11",1,1,"10",28.69,759.63,55.92,0,0,10110
"12",1,1,"11",29.57,759.34,53.92,0,0,10111
"13",1,1,"12",31.2,758.9,51.2,0,0,10112
"14",1,1,"13",32.66,758.13,45.67,0,0,10113
"15",1,1,"14",31.16,757.87,54,0,0,10114
"16",1,1,"15",32.43,757.09,49.08,0,0,10115
"17",1,1,"16",31.9,756.39,55,0,0,10116
"18",1,1,"17",30.76,755.99,58.67,0.15,0.15,10117
"19",1,1,"18",29.16,755.73,67.42,0.85,1.02,10118
"20",1,1,"19",29.11,755.63,61.91,0,1.02,10119
"21",1,1,"20",28.86,756.12,64.5,0,1.02,10120
"22",1,1,"21",28.78,756.99,68.36,0,1.02,10121
"23",1,1,"22",28.75,757.07,69.92,0,1.02,10122
"24",1,1,"23",28.44,757.32,70.75,0,1.02,10123
"25",1,2,"00",27.87,756.96,68.75,0,0,10200
"26",1,2,"01",27.38,755.74,68.08,0,0,10201
"27",1,2,"02",27.06,755.38,68.25,0,0,10202
"28",1,2,"03",27.09,755.71,66.83,0,0,10203
"29",1,2,"04",26.29,755.71,71.25,0,0,10204
"30",1,2,"05",26.38,755.67,71.67,0,0,10205
"31",1,2,"06",26.64,755.65,72.5,0,0,10206
"32",1,2,"07",27.2,755.65,72.17,0,0,10207
"33",1,2,"08",27.5,755.57,71,0,0,10208
"34",1,2,"09",28.59,755.02,67.58,0,0,10209
"35",1,2,"10",30.33,754.69,62.42,0,0,10210
"36",1,2,"11",33.34,754.09,51.75,0,0,10211
"37",1,2,"12",32.21,753.8,56.57,0,0,10212
"38",1,2,"13",26.64,754.75,79.36,2.45,2.49,10213
"39",1,2,"14",25,753.53,89.75,2.77,4.83,10214
"40",1,2,"15",24.75,753.4,83.43,0,4.83,10215
"41",1,2,"16",25.82,NA,77.44,0,4.83,10216
"42",1,2,"17",25.28,753.45,77.08,0,4.83,10217
"43",1,2,"18",24.96,754.11,77.92,0,4.83,10218
"44",1,2,"19",24.78,754.19,76.17,0,4.83,10219
"45",1,2,"20",24.78,755.33,74,0,4.83,10220
"46",1,2,"21",24.78,756.01,73.42,0,4.83,10221
"47",1,2,"22",24.89,756.69,73.67,0,4.83,10222
"48",1,2,"23",24.75,757.05,71.83,0,4.83,10223
"49",1,3,"00",23.84,757.66,64.42,0,0,10300
"50",1,3,"01",22.46,758.09,58.42,0,0,10301
"51",1,3,"02",21.27,758.66,47.17,0,0,10302
"52",1,3,"03",20.5,759.06,44.83,0,0,10303
"53",1,3,"04",19.86,759.5,39.42,0,0,10304
