num_estacion,lat,lon,nombre
1,-34.58313308,-58.39245207,Facultad de Derecho
2,-34.59250605,-58.37476844,Retiro
3,-34.611032,-58.3682604,ADUANA
4,-34.60172329,-58.36885659,Plaza Roma
5,-34.58033852,-58.42097562,Plaza Italia
6,-34.62841366,-58.36973334,Parque Lezama
7,-34.60616925,-58.3810438,Obelisco
8,-34.60967613,-58.38929483,Congreso
9,-34.58467879,-58.40744284,Parque Las Heras
11,-34.60124451,-58.38505036,Tribunales
12,-34.59294344,-58.38887793,Plaza Vicente López
13,-34.609856,-58.40629964,Once
14,-34.57760575,-58.42635343,Pacífico
15,-34.6004,-58.3636706,JUANA MANSO II
16,-34.60995934,-58.37471724,Legislatura
17,-34.60640431,-58.41878141,Plaza Almagro
18,-34.61737315,-58.38048066,Independencia
19,-34.59550375,-58.37759212,Plaza San Martín
20,-34.57994901,-58.44178205,Distrito Audiovisual
21,-34.6396832,-58.4062115,Parque Patricios
22,-34.59398137,-58.38256013,Arenales
23,-34.60030264,-58.37945621,Suipacha
24,-34.61057761,-58.38083062,Alsina
25,-34.58947381,-58.41609141,Plaza Güemes
26,-34.60073064,-58.36363145,Juana Manso
27,-34.59931794,-58.38999235,Montevideo
28,-34.62298878,-58.41256795,Plaza Boedo
29,-34.60820022,-58.43406704,Parque Centenario
30,-34.59060736,-58.39737408,Peña
31,-34.60318523,-58.43967746,Padilla
32,-34.6074676,-58.37356491,Catedral
33,-34.59710875,-58.39884889,Facultad de Medicina
34,-34.59957943,-58.37415729,Galerías Pacífico
35,-34.59632739,-58.37185787,Ingeniero Butty
36,-34.60495848,-58.37668186,Maipú
37,-34.60791436,-58.37786401,Piedras
38,-34.59701994,-58.38286784,Plaza Libertad
39,-34.60910645,-58.38767271,Congreso II
40,-34.60442953,-58.37343505,Sarmiento
41,-34.6364511,-58.4076348,URQUIZA
42,-34.60454437,-58.37984216,Diagonal Norte
43,-34.583918,-58.3900194,CENTRO DE EXPOSICIONES
44,-34.5755148,-58.4138829,Ecoparque
45,-34.60173976,-58.38680303,Uruguay
46,-34.6163012,-58.3743749,Chile
47,-34.61126161,-58.37343618,Colegio Nacional Buenos Aires
48,-34.61471409,-58.36679943,Colonia Express
49,-34.62893503,-58.4225167,33 Orientales
50,-34.58370606,-58.40111379,Hospital Rivadavia
51,-34.60153188,-58.38228743,Tucumán
52,-34.60688551,-58.41475938,Sánchez de Bustamante
53,-34.59556967,-58.37431685,Ricardo Rojas
54,-34.59817024,-58.4218445,Acuña de Figueroa
55,-34.59937483,-58.36964287,Bouchard
56,-34.58896909,-58.42553571,Plaza Palermo Viejo
57,-34.61341572,-58.37059086,Belgrano
58,-34.57523349,-58.43465731,Ministro Carranza
59,-34.60399774,-58.39597496,Coronel Díaz
60,-34.6016447,-58.37111724,25 de Mayo
61,-34.60908604,-58.37083437,Ministerio de Economía
62,-34.59851286,-58.37687541,Córdoba
63,-34.59911747,-58.37279201,Reconquista
64,-34.59389992,-58.39427419,Riobamba
65,-34.58726407,-58.41586349,Julián Álvarez
66,-34.59458832,-58.41386511,Billinghurst
67,-34.63850092,-58.42547747,Senillosa
68,-34.60657862,-58.38541579,Rivarola
69,-34.59598148,-58.40448263,Ecuador
70,-34.59267936,-58.42593807,Aráoz
71,-34.60283153,-58.38309943,Cerrito
72,-34.61359625,-58.374608,Venezuela
